,0
spotify:artist:4ptJIIR10UVlGjN0VntFaK,"Day Wave,53"
spotify:artist:57MtJQ6Sc4tIxrXIhrqVJL,"Generationals,56"
spotify:artist:6Bllzm0olEwqGwPujaLiuA,"Arlie,51"
spotify:artist:22ojy4H4ZVpowC4lRRC8In,"Destroyer,55"
spotify:artist:6nXSnNEdLuKTzAQozRtqiI,"M. Ward,54"
spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,"Blind Pilot,54"
spotify:artist:2O2dI9lY9PnWtAa4OlrgMi,"Pell,55"
spotify:artist:56tbeL5xhBPxby544GuK3E,"Kevin Garrett,56"
spotify:artist:5lC7N2Mm9i92KSfW4opawO,"Ekoh,53"
spotify:artist:5MynxBz4ZMqvUzpcxTZl4C,"Therapie TAXI,64"
spotify:artist:6pwHWKweuoCyx3OoFaD0Q5,"The Weepies,50"
spotify:artist:2hazSY4Ef3aB9ATXW7F5w3,"IZAL,66"
spotify:artist:2YSzmcSn7vQaFiB2B5LpCB,"Evann McIntosh,52"
spotify:artist:39R87tT1qaTxHwu5m87USa,"EXES,53"
spotify:artist:4wYk01oPJNfaEssVFL46oQ,"Coast Modern,57"
spotify:artist:78YRbJhMi5kXKruiQGCJo7,"Étienne de Crécy,48"
spotify:artist:0utS63XytOEVN1EtzWhJpG,"The Radio Dept.,50"
spotify:artist:2OlZK0VIzr7wQYSrj9bOvF,"SonReal,56"
spotify:artist:3DFoVPonoAAt4EZ1FEI8ue,"Sir Sly,55"
spotify:artist:5hhVBlzS6hGuC1BNWANyyj,"Beck Pete,51"
spotify:artist:4ZwarqrZFCfYgb3F4KS6gr,"J-Wright,48"
spotify:artist:3BYXi96LqI8TwNljFKE0DZ,"Girlpool,47"
spotify:artist:7Ht57YadlBXcFJDK3plmhO,"The Microphones,48"
spotify:artist:5EGOerlVYxwqxaTLEWumBR,"Synapson,55"
spotify:artist:1pduOlnYE5rd4VChXbeU8g,"Adna,44"
spotify:artist:0pxhu7zSqPjBTUWMl6piHF,"Molina,44"
spotify:artist:1nw8iwDkSSHqn8S343ODcp,"Chassol,46"
spotify:artist:716ZwtZBmwROBXcFmCzfdM,"Andrew McMahon in the Wilderness,54"
